price_inr,age_yr,mileage_km,transmission,color,engine_cc,seats,tank_size_l
7000000,5,19000,Automatic,White,2996,4,66
7500000,5,38000,Automatic,Blue,2995,5,65
8190000,5,18000,Automatic,Bronze,1950,5,93
8300000,5,29000,Automatic,Blue,2993,5,80
8300000,5,50000,Automatic,White,1950,5,93
8600000,5,21696,Automatic,Blue,2993,5,80
345000,6,60969,Manual,Silver,1198,5,35
365000,6,32000,Manual,Brown,999,5,28
370000,6,47377,Manual,Grey,998,4,60
375000,6,55000,Manual,Silver,799,5,28
390000,6,56000,Manual,White,796,5,35
400000,6,22000,Manual,White,998,5,35
409999,6,32000,Manual,Silver,1086,5,35
425000,6,53241,Manual,Grey,998,5,27
430000,6,57993,Automatic,White,998,5,35
434999,6,32000,Manual,Grey,799,5,28
434999,6,34400,Automatic,Silver,1086,5,35
449000,6,3583,Manual,Grey,796,5,35
465000,6,19000,Automatic,Gold,1086,5,35
465000,6,28000,Manual,White,1086,5,60
470000,6,11183,Automatic,Silver,999,5,28
475000,6,25000,Manual,Grey,998,5,35
480000,6,10265,Manual,Grey,1197,5,43
490000,6,32000,Automatic,Bronze,999,5,28
495000,6,46000,Manual,Silver,1086,5,60
509999,6,30858,Manual,Silver,1086,5,35
509999,6,40000,Manual,Silver,1196,7,40
509999,6,48000,Manual,White,998,5,35
515000,6,40310,Manual,Grey,1196,7,40
520000,6,76000,Manual,White,998,5,60
525000,6,32000,Manual,Bronze,1199,5,35
525000,6,50000,Manual,Grey,998,5,60
540000,6,34000,Manual,White,998,5,35
545000,6,10340,Manual,White,998,5,35
545000,6,28000,Manual,White,1197,5,43
545000,6,43000,Manual,Silver,1086,5,60
550000,6,29000,Manual,Grey,1197,5,42
550000,6,48000,Manual,Silver,998,5,60
551000,6,39000,Manual,White,1120,5,43
570000,6,13000,Manual,Silver,1197,5,42
575000,6,31000,Manual,Grey,998,5,60
575000,6,71569,Manual,White,1498,5,40
579000,6,50860,Manual,Grey,1197,5,32
580000,6,17881,Manual,Grey,1197,5,42
585000,6,12000,Automatic,Silver,1199,5,35
590000,6,26000,Manual,Blue,1197,5,42
595000,6,25000,Manual,Silver,1197,5,43
595000,6,48000,Manual,White,1197,5,40
605000,6,27469,Manual,Silver,1197,5,37
620000,6,42356,Manual,Red,1197,5,37
625000,6,31000,Manual,White,1197,5,45
625000,6,48422,Manual,Blue,1497,5,52
630000,6,20734,Automatic,Silver,998,5,35
645000,6,35000,Manual,Grey,1197,5,45
650000,6,15000,Automatic,Silver,1197,5,43
650000,6,42000,Manual,White,1198,5,35
650000,6,44710,Manual,White,1197,5,42
650000,6,54000,Automatic,White,1199,5,35
675000,6,35000,Manual,White,1498,5,40
675000,6,74237,Manual,White,1199,5,35
685000,6,74000,Manual,Blue,1197,5,37
691000,6,16652,Manual,White,1197,5,37
695000,6,42678,Manual,Blue,1197,5,45
695000,6,46027,Manual,Blue,1197,5,42
699000,6,53929,Manual,Red,999,5,45
700000,6,11000,Manual,Silver,1197,5,37
700000,6,19244,Manual,Red,1197,5,37
715000,6,31552,Automatic,Brown,1197,5,37
725000,6,11874,Automatic,White,1197,5,37
725000,6,11874,Automatic,White,1197,5,37
735000,6,55000,Manual,Silver,1197,5,37
750000,6,6200,Manual,Blue,1462,5,43
750000,6,33000,Manual,Silver,1198,5,44
750000,6,43600,Automatic,White,998,5,45
770000,6,72040,Automatic,Silver,1248,5,37
775000,6,14095,Manual,White,1499,5,52
775000,6,80849,Manual,White,1248,5,37
790000,6,25000,Automatic,Red,1197,5,37
795000,6,22224,Automatic,Grey,1199,5,35
799000,6,37500,Manual,Red,1197,5,37
825000,6,9644,Automatic,Blue,1197,5,37
825000,6,25500,Manual,Silver,1248,5,48
825000,6,44000,Manual,White,1462,5,43
825000,6,81300,Manual,White,1248,5,48
840000,6,34000,Manual,White,1497,5,40
850000,6,28000,Manual,White,1498,5,52
850000,6,32000,Automatic,Grey,1462,5,43
850000,6,72000,Manual,Silver,1248,7,45
850000,6,85641,Manual,White,1493,7,60
875000,6,36000,Manual,Bronze,1497,5,40
875000,6,58618,Manual,Grey,1497,5,40
894999,6,46000,Automatic,White,1248,5,48
900000,6,17000,Manual,White,1199,5,40
910000,6,34000,Manual,Blue,1462,5,43
910000,6,76000,Manual,White,1498,5,43
925000,6,60888,Manual,Silver,1497,5,42
935000,6,56000,Manual,White,1498,5,35
944999,6,88000,Manual,White,1493,7,60
950000,6,22000,Manual,White,1497,5,40
950000,6,32809,Manual,Silver,1598,5,55
975000,6,41792,Manual,Blue,1462,6,45
975000,6,56881,Manual,Silver,1497,5,40
975000,6,58000,Manual,White,1248,5,48
990000,6,21894,Automatic,White,1462,7,45
990000,6,23000,Manual,Orange,1396,5,60
990000,6,54572,Manual,White,1248,5,48
994999,6,27900,Manual,Brown,1462,6,45
999000,6,27464,Manual,Blue,998,5,45
1011000,6,74179,Automatic,Silver,1248,5,48
1025000,6,42000,Manual,Silver,1396,5,45
1025000,6,42000,Manual,Brown,1373,7,45
1025000,6,90000,Manual,White,1248,5,48
1040000,6,18000,Automatic,Brown,1497,5,40
1050000,6,17000,Manual,Green,1497,8,45
1060000,6,12382,Manual,Maroon,1497,5,40
1063000,6,31056,Manual,Others,1598,5,48
1075000,6,28000,Automatic,Blue,998,5,45
1075000,6,30672,Automatic,Blue,1462,5,43
1075000,6,45000,Automatic,White,1591,5,55
1080000,6,68000,Manual,White,1396,5,60
1090000,6,37000,Manual,Blue,1396,5,55
1090000,6,40900,Automatic,Red,1496,5,42
1100000,6,26000,Manual,White,1582,5,43
1121000,6,38000,Manual,White,2523,7,60
1125000,6,40000,Manual,White,1582,5,43
1125000,6,50000,Automatic,White,1591,5,43
1149000,6,26894,Automatic,Black,1591,5,45
1175000,6,20000,Manual,Black,1591,5,43
1175000,6,36313,Manual,Grey,1591,5,60
1180000,6,38000,Automatic,White,1591,5,43
1200000,6,27657,Automatic,Grey,1582,5,55
1221000,6,46000,Manual,White,2179,7,60
1225000,6,47000,Manual,White,1582,5,55
1270000,6,61805,Manual,White,2179,7,60
1275000,6,44000,Manual,Grey,1591,5,55
1275000,6,58900,Manual,White,1582,5,55
1299000,6,39000,Manual,White,1582,5,55
1350000,6,79000,Manual,Grey,1493,5,50
1375000,6,69000,Manual,Black,2179,7,60
1390000,6,29096,Automatic,White,1591,5,55
1400000,6,13000,Automatic,White,1591,5,60
1465000,6,22000,Automatic,Silver,1999,5,50
1475000,6,9576,Automatic,White,1591,5,55
1490000,6,57600,Automatic,White,1353,5,50
1500000,6,75000,Manual,White,2179,7,70
1550000,6,17000,Manual,White,1353,5,50
1575000,6,55000,Manual,Silver,1493,5,50
1611000,6,46301,Manual,White,1956,5,60
1625000,6,7000,Automatic,Red,1451,5,60
1670000,6,39000,Automatic,Brown,1798,5,55
1695000,6,20856,Manual,Orange,1956,5,50
1725000,6,23952,Manual,Red,1956,5,60
1725000,6,68758,Manual,White,1956,5,50
1750000,6,57000,Automatic,Silver,1368,5,60
1900000,6,71000,Manual,Bronze,2393,8,55
1998999,6,71063,Manual,Silver,2393,8,55
2089999,6,31000,Automatic,White,1995,5,62
2196000,6,42794,Automatic,White,2755,8,55
2250000,6,28000,Manual,Maroon,2393,8,55
2295000,6,26000,Automatic,Silver,2755,7,55
2380000,6,36000,Automatic,White,1968,5,50
2395000,6,44876,Automatic,White,1995,5,62
2690000,6,15500,Automatic,Blue,1995,5,57
2750000,6,56500,Automatic,White,2143,5,50
2770000,6,32000,Automatic,Black,2157,7,70
2799000,6,69500,Automatic,White,2755,7,80
2811000,6,71500,Automatic,White,2755,7,80
2900000,6,15529,Automatic,White,1968,5,50
2900000,6,15530,Automatic,White,1968,5,50
2900000,6,25000,Automatic,White,1995,5,63
2980000,6,92000,Manual,Black,2755,7,80
3025000,6,59000,Automatic,Blue,1995,5,63
3100000,6,17000,Automatic,Red,2143,5,56
3100000,6,24000,Automatic,Red,1991,5,50
3199000,6,6900,Automatic,Grey,1968,5,66
3250000,6,34000,Automatic,White,3198,7,80
3250000,6,41000,Automatic,White,1968,5,64
3300000,6,6400,Automatic,Red,1496,5,44
3300000,6,42475,Automatic,Silver,3198,7,80
3400000,6,11000,Automatic,Black,1995,5,63
3400000,6,30600,Automatic,Red,1984,5,50
3400000,6,48000,Automatic,White,1968,5,54
3450000,6,41526,Automatic,Silver,3198,7,80
3499000,6,73000,Automatic,White,2755,7,80
3500000,6,55000,Automatic,Black,1950,5,66
3650000,6,6000,Automatic,White,1998,5,57
3650000,6,34000,Automatic,Black,3198,7,80
3675000,6,34000,Automatic,Black,1968,5,75
3750000,6,13500,Automatic,Silver,1999,5,66
3775000,6,32963,Automatic,Black,1995,5,63
3785000,6,29221,Automatic,Blue,1995,5,63
3900000,6,33000,Automatic,Beige,1950,5,66
3950000,6,33000,Automatic,White,1950,5,66
4150000,6,8000,Automatic,Blue,1950,5,66
4150000,6,29000,Automatic,Blue,1995,5,57
4275000,6,31000,Automatic,Blue,1950,5,66
4500000,6,72000,Automatic,White,1950,5,80
4575000,6,50000,Automatic,Blue,2179,7,65
4800000,6,30000,Automatic,Black,1995,5,65
4800000,6,31000,Automatic,Black,1995,5,65
5100000,6,24444,Automatic,Blue,1999,7,65
5100000,6,79000,Automatic,Blue,2993,5,68
5200000,6,10000,Automatic,Blue,1950,5,66
5200000,6,43000,Automatic,Black,1999,5,82
5300000,6,15087,Automatic,Blue,1995,5,67
5500000,6,30000,Automatic,White,1950,5,80
5775000,6,57000,Automatic,Black,2143,5,93
5800000,6,3500,Automatic,White,1969,5,71
5850000,6,31000,Automatic,Grey,2143,5,93
5950000,6,10000,Automatic,White,1950,5,80
6225000,6,42079,Automatic,Silver,2987,5,80
6500000,6,5750,Automatic,White,1950,5,80
6875000,6,53000,Automatic,White,2987,7,100
8500000,6,13000,Automatic,White,2987,7,100
9000000,6,27000,Automatic,Red,1984,5,65
9300000,6,9000,Automatic,Blue,3436,4,68
19300000,6,63000,Automatic,Black,2993,5,105
22000000,6,35000,Automatic,Blue,2993,5,105
250000,7,25000,Manual,Grey,999,5,28
280000,7,48000,Manual,Silver,796,5,35
290000,7,70000,Manual,White,814,5,32
299000,7,19000,Manual,Red,999,5,28
300000,7,51000,Manual,White,814,5,32
305000,7,34800,Manual,Red,799,5,28
319000,7,89059,Manual,Others,799,5,28
