Depth_m,Temperature_C,Oxygen_ml/l,Salinity_psu
331.5,11.9172,4.74271,35.6808
332.0,11.9139,4.74667,35.6802
332.5,11.9098,4.74343,35.6795
333.0,11.9056,4.7434,35.6787
333.5,11.9008,4.74189,35.6778
334.0,11.8956,4.74042,35.6768
334.5,11.8901,4.73877,35.6758
335.0,11.8843,4.73479,35.6746
335.5,11.879,4.73762,35.6735
336.0,11.8732,4.74101,35.6723
336.5,11.867,4.73987,35.671
337.0,11.8578,4.74541,35.6692
337.5,11.8453,4.7443,35.6668
338.0,11.8308,4.75017,35.6641
338.5,11.8207,4.74839,35.6621
339.0,11.8139,4.74949,35.6609
339.5,11.8078,4.74982,35.6598
340.0,11.8021,4.75061,35.6589
340.5,11.7976,4.75245,35.6581
341.0,11.7929,4.74503,35.6575
341.5,11.7887,4.73701,35.6569
342.0,11.7846,4.72989,35.6565
342.5,11.7811,4.72522,35.6562
343.0,11.7784,4.7242,35.6559
343.5,11.7758,4.72287,35.6557
344.0,11.7732,4.72007,35.6556
344.5,11.77,4.71981,35.6556
345.0,11.7661,4.72052,35.6561
345.5,11.7631,4.71503,35.657
346.0,11.7621,4.71182,35.6577
346.5,11.7616,4.70808,35.6586
347.0,11.7614,4.70205,35.6595
347.5,11.7614,4.69967,35.6601
348.0,11.7616,4.69478,35.6609
348.5,11.7619,4.68891,35.6618
349.0,11.7623,4.68668,35.6626
349.5,11.7629,4.683,35.6634
350.0,11.7635,4.679,35.6642
350.5,11.7643,4.67457,35.6651
351.0,11.7652,4.6693,35.6659
351.5,11.7662,4.66426,35.6668
352.0,11.7676,4.66276,35.6679
352.5,11.7687,4.66006,35.6687
353.0,11.7699,4.65248,35.6695
353.5,11.7708,4.64864,35.6701
354.0,11.7714,4.64849,35.6705
354.5,11.7721,4.6488,35.6707
355.0,11.7728,4.65062,35.6711
355.5,11.7738,4.653,35.6715
356.0,11.7752,4.65139,35.6719
356.5,11.7769,4.64965,35.6725
357.0,11.7785,4.64775,35.6731
357.5,11.7801,4.64738,35.6736
358.0,11.7818,4.64701,35.6741
358.5,11.7835,4.64496,35.6746
359.0,11.7853,4.64505,35.6752
359.5,11.7874,4.64239,35.6759
360.0,11.7894,4.6422,35.6768
360.5,11.7915,4.64176,35.6776
361.0,11.7932,4.64359,35.6785
361.5,11.7947,4.64226,35.6795
362.0,11.7958,4.63904,35.6807
362.5,11.796,4.63715,35.6818
363.0,11.7952,4.63123,35.6828
363.5,11.794,4.62851,35.6834
364.0,11.7924,4.62496,35.6838
364.5,11.7904,4.62067,35.6842
365.0,11.7885,4.61743,35.6844
365.5,11.7864,4.61473,35.6845
366.0,11.784,4.61351,35.6847
366.5,11.7813,4.61266,35.6847
367.0,11.7779,4.61233,35.6848
367.5,11.7743,4.61189,35.6848
368.0,11.7697,4.61022,35.6848
